T,PIF4m,PIF5m,PIF,phyB,PR,INT,IAA29m,ATHB2m,CDF1m,FKF1m,FKF1,CDF1,COm,CO,FTm,InducedC1,InducedC2,RepressedC1,PHYAm,phyAr,phyAfr,phyAmarker
0,1.00838046198161,1.03015192467055,120.673941177956,0.287486910012537,0.287486910231516,3.04707639120094,1.92277421340625,5.41515869610325,0.401162800647923,1.78369649281408,1.44151218250343,0.00796854151297482,0.985346172257563,0.0397416393416759,0.0867776546094949,1.92277421340625,1.03340599363408,0.148919544383952,2.02646971901576,3.77787680661958,0.0745465404877514,0.0811255406897249
0.1,1.00838046198161,1.03015192467055,43.6076449179647,0.843299981165966,0.84329998120364,4.73437531850285,1.90981596725471,5.31261747893683,0.402438818831189,1.7898892823473,1.43749765438435,0.00813130290000254,0.956289397422272,0.238258765846844,0.086128653521971,1.90981596725471,1.03264462702944,0.146045829862658,2.01349989043809,3.49786952965725,0.32590582499492,0.087952152868535
0.2,1.00838046198161,1.03015192467055,16.2763862587273,0.950597255443923,0.950597255448985,7.00178256349442,1.8118508705162,4.9678905943254,0.402708336777376,1.79153489726794,1.4345854569896,0.00836311144888667,0.926009988062262,0.511464463404786,0.0924011134492205,1.8118508705162,1.01421703590574,0.145966172625545,1.92422647373305,3.20447530627461,0.539607743854159,0.103343840643139
0.3,1.00838046198161,1.03015192467055,11.7077021053092,0.964515140471007,0.964515140471295,9.06789271810504,1.69364869511658,4.63793265758269,0.40195129420024,1.78423989417244,1.43175811790602,0.00859300306539762,0.897919888520804,0.768533907462591,0.10615808180492,1.69364869511658,0.946907225115757,0.159980292580011,1.80457332208798,2.945380222021,0.678028086659799,0.121087468910446
0.4,1.00838046198161,1.03015192467055,11.0265242548242,0.966263973571737,0.966263973571646,10.8536786165749,1.5825120878953,4.33019134060791,0.400250263323076,1.76762161125301,1.42804670429329,0.00878605360312158,0.871882454724798,1.00781461942932,0.125589296950588,1.5825120878953,0.867018546311331,0.179250382727601,1.69267430154342,2.71487584011052,0.761030919811726,0.139054747881898
0.5,1.00838046198161,1.03015192467055,10.92992431426,0.96647184712623,0.966471847126135,12.3853824535321,1.47873227755547,4.04324907804311,0.397724633838983,1.74192045858213,1.42260752124565,0.0089329458691155,0.847750236036295,1.23053704481386,0.148885696253328,1.47873227755547,0.790020558550997,0.199297639834188,1.58808325569054,2.50838681601833,0.804472840112379,0.156607166928165
0.6,1.00838046198161,1.03015192467055,10.9101733854976,0.966507966196916,0.96650796619695,13.6976608927842,1.38189352863564,3.77569828034517,0.394508376407068,1.70781900195462,1.41475680279184,0.00903829499745352,0.825386882588744,1.43788552880462,0.174609549118567,1.38189352863564,0.718457049903986,0.219371036773732,1.49041851726929,2.32228456545211,0.819952358624709,0.173494914155368
0.7,1.00838046198161,1.03015192467055,10.9123958913625,0.966502511059198,0.966502511059162,14.8217918957284,1.29153762289381,3.5262360474797,0.390734154127149,1.66633470860189,1.40398998291088,0.00911353902119154,0.804665403956312,1.63099200861412,0.201784787313559,1.29153762289381,0.652689106058084,0.239264319013864,1.39932894219821,2.15363280995092,0.816179067641281,0.18958358574074
0.8,1.00838046198161,1.03015192467055,10.9129253432867,0.966502743983121,0.966502743983099,15.7846959061761,1.20724053784802,3.29363894781409,0.38652444841293,1.61869255162099,1.38998681244364,0.00917256218770931,0.785466938968717,1.81069137070457,0.229784241658627,1.20724053784802,0.592576933725515,0.258888965995522,1.31440980989237,2.00012589490786,0.799303966637653,0.204815834315238
0.9,1.00838046198161,1.03015192467055,10.9090489518733,0.966505750784383,0.966505750784446,16.6093914202123,1.12860080372367,3.07676745073767,0.381987331287951,1.56620988838554,1.37260782781998,0.00922910662200923,0.767680205808967,1.97810277302429,0.258193562960362,1.12860080372367,0.537804633151399,0.278202898023162,1.23523605144654,1.85991133579769,0.773704992769304,0.219166256654224
1,1.00838046198161,1.03015192467055,10.9100158373716,0.966503848951056,0.966503848951072,17.3157764217783,1.05523922019511,2.87455886825952,0.377213367346587,1.51020767031367,1.351860565787,0.00929466221500545,0.751200428982725,2.13421799109177,0.286717257199341,1.05523922019511,0.487985773664996,0.297186509320933,1.16141623135091,1.73150316463188,0.742402705324588,0.232620621668284
1.1,1.00838046198161,1.03015192467055,10.9109921900896,0.966503224227002,0.966503224227019,17.9208818774882,0.98680213035116,2.68602049181204,0.372276445252875,1.45192441451714,1.32788511318024,0.0093780107997706,0.73592946820206,2.27972429189478,0.315148480226445,0.98680213035116,0.442727052227302,0.315830080435166,1.09258117163092,1.61355126966836,0.707955457712019,0.245166885278845
