T,PIF4m,PIF5m,PIF,phyB,PR,INT,IAA29m,ATHB2m,CDF1m,FKF1m,FKF1,CDF1,COm,CO,FTm,InducedC1,InducedC2,RepressedC1,PHYAm,phyAr,phyAfr,phyAmarker
0,0.245703056119982,0.308757331770285,2.99442066500429,0.931955327811615,0.931955327811494,19.8932996774846,0.0370318644857867,0.0858012768627915,0.842858035023489,0.108093129046119,0.0844052207205999,0.214456397778053,0.130989333228035,0.0733674205206887,0.000763709001486075,0.0370318644857867,0.00503425740965079,1.12790845490366,0.143801643218934,0.199065542795467,0.0324705847958803,0.0819318884923532
0.1,0.256525556077032,0.319565357009427,3.10346138222645,0.935169028768685,0.935169028768639,20.035894457295,0.036968185097518,0.0857954510711168,0.84495322688299,0.10857493012393,0.0845376803201065,0.217110664794756,0.127461993601705,0.0754423728386374,0.00079434994798642,0.036968185097518,0.0045656460375275,1.13031911036017,0.143739300303956,0.194346471325369,0.0334796885859036,0.0821199336255858
0.2,0.267536115304985,0.330532488814119,3.21442210835679,0.938116613193602,0.938116613193595,20.167821372584,0.0369083537846909,0.0857899794645718,0.846316877892361,0.109065588549224,0.0846995463208808,0.219734718805678,0.124068086686463,0.0775344362661834,0.00082670082034953,0.0369083537846909,0.00413713286392978,1.13268589499046,0.143680962199494,0.189671250968765,0.0344331327232674,0.082315004796658
0.3,0.278695513561655,0.341607763293142,3.3270609710084,0.940792898362702,0.940792898362705,20.2889129580348,0.0368524469947939,0.0857848690071285,0.846910898951394,0.109562226883255,0.0848907027581026,0.222324822561887,0.120812060578404,0.0796538007031617,0.000860877059649915,0.0368524469947939,0.00374905337025652,1.13500701230102,0.143625947873104,0.185053860331702,0.035330776838974,0.0825153471342335
0.4,0.289898451316865,0.352661721633505,3.44081118312912,0.943212709819914,0.943212709819922,20.3998709038906,0.0368002464221121,0.0857800994365852,0.846718881914768,0.11005693545417,0.0851077703878598,0.224875284748142,0.117690612531143,0.0818181785349123,0.000896973447736314,0.0368002464221121,0.00339806382223261,1.13728278814038,0.14357434062436,0.180520264848836,0.0361605673165251,0.0827203202521777
0.5,0.301236684151554,0.363825794041389,3.55591655007466,0.945405358350793,0.945405358350801,20.5015112476781,0.0367514997649488,0.0857756473612362,0.84573609487148,0.110542284887946,0.0853462548296323,0.227379579472833,0.114699317284258,0.084039195374278,0.000935130954971191,0.0367514997649488,0.00308053070608336,1.13951379831124,0.143526100386592,0.176063369478621,0.0369263170017053,0.0829300132031667
0.6,0.31269009919121,0.375077577307981,3.67227229909275,0.947382370910224,0.947382370910229,20.5942072869208,0.0367060911410468,0.0857715020476554,0.843965402958211,0.11101559085996,0.0856040448018511,0.229834906737115,0.111835924364729,0.0863199609529079,0.000975415599718959,0.0367060911410468,0.00279487276353633,1.14170041164139,0.143480868810378,0.171730093729621,0.0376148228207499,0.0831416536323935
0.7,0.324195485083251,0.386343433296827,3.78957893131843,0.949171398719541,0.949171398719544,20.678862462458,0.0366637398095354,0.085767637497932,0.841416249061161,0.111470693914427,0.0858760014418029,0.232234595052072,0.109094863971989,0.0886668910905784,0.00101798759282079,0.0366637398095354,0.00253730223577707,1.14384357582308,0.143438789432752,0.167501643970072,0.0382313732712174,0.083356352007912
0.8,0.335800673571518,0.39768999846963,3.90801382662963,0.950783902247826,0.950783902247827,20.7559532639274,0.0366242961722159,0.0857640398812831,0.838104616924668,0.111905404321645,0.0861591630334693,0.234575117211906,0.106472722539948,0.0910748193212627,0.00106294806260631,0.0366242961722159,0.00230601007101334,1.14594397526918,0.143399388794482,0.163422711269327,0.038769904515704,0.0835703974096664
0.9,0.347506471038971,0.409125508270783,4.02754404833729,0.952240923003938,0.952240923003939,20.8262251461314,0.0365875277666183,0.0857606876823517,0.834044011361429,0.112315158219082,0.0864491496241609,0.236850928935113,0.103964661973294,0.0935443252491682,0.00111043893737067,0.0365875277666183,0.00209797011409661,1.14800248353699,0.14336278388198,0.159482252970432,0.0392319148597379,0.0837847067639633
1,0.359285861454467,0.420616575726087,4.1480983250583,0.953559332750069,0.953559332750069,20.8902007126021,0.0365532723023356,0.0857575659095151,0.829271530598055,0.112702132052661,0.0867429896102404,0.239058058614855,0.101566817629026,0.0960773187916315,0.00116059953644561,0.0365532723023356,0.00191137583892777,1.15001991712088,0.14332861395558,0.155699956954247,0.0396219970213287,0.0839964866675191
1.1,0.371128742620648,0.432154228669668,4.26963880760121,0.954757150421891,0.954757150421889,20.9484851601393,0.036521341329607,0.0857546571365998,0.8238125471357,0.113065377437707,0.0870371662443711,0.24119196352769,0.0992750021541998,0.0986746606880197,0.00121356583692307,0.036521341329607,0.00174393746209035,1.15199709640161,0.143296807971493,0.152079897688614,0.039940929029697,0.0842051865225129
1.2,0.383096464493873,0.443818529623871,4.39251113969359,0.955842962142842,0.95584296214284,21.0015382421899,0.0364915902424339,0.0857519480155435,0.817707778363781,0.113407370072633,0.0873297102080675,0.243248949014349,0.0970856290902372,0.101330936581841,0.00126949847822424,0.0364915902424339,0.00159418242287314,1.15393481257413,0.143267012620984,0.148628544453526,0.040199843310362,0.0844084372006566
1.3,0.395208128833568,0.455636736980011,4.5168373352856,0.956830849514571,0.956830849514569,21.0499027010666,0.0364638494520674,0.0857494228752322,0.810989882605474,0.113728775785623,0.0876177658255435,0.245224836045451,0.094994757375632,0.104044411829074,0.00132854478878351,0.0364638494520674,0.00146017962956351,1.15583387860553,0.143238995636655,0.145352068696123,0.0404050481715515,0.0846046298909536
