T,PIF4m,PIF5m,PIF,phyB,PR,INT,IAA29m,ATHB2m,CDF1m,FKF1m,FKF1,CDF1,COm,CO,FTm,InducedC1,InducedC2,RepressedC1,PHYAm,phyAr,phyAfr,phyAmarker
0,0.10509647637071,0.16235194308081,17.5512222561527,8.94661904505256e-24,9.46005206314869e-37,2.77267344693811,0.965543776030542,0.436418059387081,0.582188377850482,0.158599271011772,0.138667690525423,0.14842943338594,0.305788160121643,0.00549011444080636,3.47703284545048e-05,0.857798222709386,0.969325022705314,0.0134355310186114,0.956461842293848,2.38591366431388,0.00886137645441028,0.0806095930870699
0.1,0.235122226415027,0.329656025867669,7.70548720083575,0.844361308832983,0.844361308832983,4.35576891097237,0.931226492671339,0.41733004029389,0.590780846554303,0.19122752848309,0.138640517762941,0.149285260289368,0.29346918177089,0.0958957564814257,8.32366388706098e-05,0.823480939350196,0.951200164127982,0.0174234183186749,0.91886926400843,2.14203949763867,0.205488471731295,0.0839027831455274
0.2,0.342478657299815,0.457513081079967,4.54532701619005,0.950988522530451,0.950988522530451,6.67976481491909,0.878558787543605,0.394925299944355,0.597366911192335,0.221187722387044,0.141861980337912,0.150186651947505,0.281975848433701,0.179071135767224,0.000326969867354753,0.770813234222483,0.869749479569452,0.0396554385154926,0.866544842349241,1.93228874391417,0.334134330867989,0.0943073737175957
0.3,0.431101082613132,0.555266867800296,4.88506199198824,0.964572793188867,0.964572793188867,8.79251563363048,0.829224403620406,0.374022548879785,0.601967855283403,0.248735144218095,0.14764570050165,0.151055208143282,0.271247873483316,0.255566070185554,0.000879950253309353,0.721478850299302,0.788044312532079,0.0634191279036448,0.817712529177267,1.75010038337162,0.414141770113642,0.107957688391321
0.4,0.50426507842824,0.630066014555504,5.65608710675452,0.966279646151693,0.966279646151693,10.6178565181886,0.783201829796129,0.354535060273011,0.604667975243701,0.27384461125627,0.155402819016055,0.151835902744562,0.261235486772076,0.325897603560104,0.00182847748032539,0.675456276475042,0.713761716001254,0.0867827265868881,0.772100983298116,1.59080184890325,0.459554806589765,0.122592821384102
0.5,0.564629949490385,0.687296373188648,6.35272674274206,0.966482835899478,0.966482835899478,12.1833959478265,0.740285657347044,0.336375625075697,0.605600259723017,0.296447787868112,0.164616445006625,0.152489887873455,0.251896594634445,0.390547029438985,0.00320589663583318,0.632540104025972,0.646475238109875,0.109697906793992,0.729561454385489,1.45062895698327,0.480806265839194,0.137200416487108
0.6,0.61440950902119,0.731083415761247,6.91444188404132,0.966503555588737,0.966503555588737,13.5246562553449,0.700230315536486,0.319430019758873,0.604929195257004,0.316474306127005,0.17483027844513,0.152989648108984,0.243194872486658,0.449959617406969,0.00500652433806514,0.592484762215429,0.585542200182489,0.132168553518157,0.689905719044557,1.32662380074618,0.485308203421705,0.151334011288839
0.7,0.655441494180225,0.764590248690841,7.36491544562698,0.966525565229375,0.966525565229375,14.6735783478971,0.662852589059787,0.303622020955367,0.60283396654875,0.333867452663643,0.18564140254492,0.153316297413824,0.235098396593615,0.50454649060935,0.00720203111622734,0.555107035738826,0.530365547986317,0.1542021563168,0.65293309228906,1.21643207251638,0.478329805786589,0.164751404815722
0.8,0.689272778320433,0.790260783016942,7.72975070021194,0.966509464329681,0.966509464329681,15.6577957115411,0.62799668096184,0.288890377789755,0.599495604584165,0.348613859363024,0.196696413077496,0.153458086246005,0.227578751841417,0.554687274151896,0.00975323790244108,0.520251127641789,0.480402954115301,0.175806492572121,0.618458720436982,1.11806748443933,0.463902836717564,0.177291369010676
0.9,0.71714370812763,0.80990941913317,8.02019940406487,0.96649689746805,0.96649689746805,16.5008478222937,0.595485811511007,0.275157422794268,0.595087099367353,0.360758950824205,0.207689897928755,0.153409420511843,0.220610243817026,0.600733314060788,0.0126173453340004,0.487740258191403,0.435164680939287,0.19698879505712,0.586313454855269,1.02991082551864,0.444879024430193,0.188856788699302
