T,PIF4m,PIF5m,PIF,phyB,PR,INT,IAA29m,ATHB2m,CDF1m,FKF1m,FKF1,CDF1,COm,CO,FTm,InducedC1,InducedC2,RepressedC1,PHYAm,phyAr,phyAfr,phyAmarker
0,4.34957413497715e-55,1.2806681577766e-83,-1.88080759856226e-48,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.331730536639866,0.0783601847967487,0.0635765402956016,0.0584043484912802,0.432112732276135,3.57197851272218,0.74629606123545,0.0360747472827675,3.87926890729348e-31,1.24999999998969,0.143200722507689,0.101989282411543,0.0367745389145997,0.0871013467656783
0.1,3.58570004465529e-55,9.81989181638056e-84,-3.90904485690633e-49,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.33540471697909,0.0801421624478154,0.0634659728727285,0.0598806854849676,0.427312943656586,3.54537594935236,0.73999955371824,0.0360747472827675,3.51571675224968e-31,1.24999999998989,0.143178013398515,0.102008020636226,0.0367791039755241,0.0871016330815723
0.2,2.94160880393023e-55,7.4512640901529e-84,6.75721193299279e-50,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.33918971969184,0.0815503605461798,0.063500991761577,0.0613629253694266,0.422433378347774,3.51850303605275,0.733677900564826,0.0360747472827675,3.18288042224445e-31,1.24999999999009,0.143156768678919,0.102022577740487,0.0367838655966271,0.0871019903917919
0.3,2.40833089786008e-55,5.62963794123624e-84,7.44338052923552e-50,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.343088271159462,0.0826109084665371,0.0636520095508795,0.0628517548772246,0.417476094134728,3.49136732429779,0.727333291534418,0.0360747472827675,2.88020468971286e-31,1.24999999999029,0.143136924789955,0.102033529248035,0.0367884969870037,0.0871024152832271
0.4,1.97008367359836e-55,4.24651976566159e-84,1.6673643965281e-50,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.347099918808401,0.0833692469864797,0.0638777348250479,0.0643478949071417,0.412447123403866,3.46398207858671,0.720969589509379,0.0360747472827675,2.60573539008011e-31,1.24999999999048,0.143123543259722,0.102034443125725,0.0367903203145589,0.0871029155005778
0.5,1.60868984767813e-55,3.18721261510786e-84,-5.39562135532997e-51,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.351224197874509,0.0838737980564566,0.0641347773637846,0.0658522908520593,0.407354752571867,3.43635160123312,0.714591670600697,0.0360747472827675,2.35685446922639e-31,1.24999999999067,0.143110161729489,0.102035357003415,0.036792143642114,0.0871034157179286
0.6,1.31421301988752e-55,2.39618712865013e-84,-1.31386804531203e-50,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.35545800260723,0.084161279016378,0.0644036918770887,0.0673653714255895,0.4022046802168,3.40847201150313,0.708202564690766,0.0360747472827675,2.13180630584922e-31,1.24999999999085,0.143096780199255,0.102036270881105,0.0367939669696692,0.0871039159352793
0.7,1.07679705038307e-55,1.82007882522133e-84,-8.30796190838233e-51,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.359798890514778,0.0842645252231763,0.0646664172313062,0.068887643065065,0.397003034723959,3.38033731044529,0.701805485049361,0.0360747472827675,1.92875930006273e-31,1.24999999999103,0.143083398669022,0.102037184758794,0.0367957902972243,0.0871044161526301
0.8,8.83704289352762e-56,1.39482054502624e-84,-5.1989082154118e-51,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.364243584254909,0.0842245221857901,0.0649027416844137,0.0704198370902377,0.391758775202378,3.35193466405712,0.695404980562782,0.0360747472827675,1.74511011731931e-31,1.24999999999121,0.143070017138789,0.102038098636484,0.0367976136247795,0.0871049163699808
0.9,7.24650956294491e-56,1.06291799434893e-84,1.16686339248896e-51,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.368789519474583,0.0840765181468322,0.0650927626907929,0.0719624588140732,0.386477963448433,3.3232597658069,0.689004285407731,0.0360747472827675,1.57902900991563e-31,1.24999999999139,0.143056635608556,0.102039012514174,0.0367994369523346,0.0871054165873316
1,5.97356428586309e-56,8.30131936513596e-85,4.75177974989793e-51,0.966503539818674,0.966503539818674,21.5359480674502,0.143820300603615,0.0857142857142857,0.373434683076473,0.0838302097581869,0.0652455456254129,0.0735159978839211,0.381166723435922,3.29429361275165,0.682606074111113,0.0360747472827675,1.42911669384209e-31,1.24999999999156,0.143043254078322,0.102039926391864,0.0368012602798898,0.0871059168046823
